2,3,5,2,2,3,4,1,7,2,2,5,3,2,6,1,6,8,9,3,5,2,2,5,9,10,1,2,6,2,2,3,10,6,2,2,9,2,3,3,7,3,1,4,2,3,6,2,2,5,6,0,5,3,3,4,11,3,6,4,1,3,7,7,6,7,10,2,7,5,6,3,7,8,5,3,4,1,6,4,1,4,3,2,3,5,2,4,5,4,3,0,5,1,2,3,5,4,6,3,8,5,2,4,4,4,6,3,0,4,1,3,2,5,7,5,4,2,2,3,2,2,3,4,3,7,9,3,4,2,9,10,6,2,5,2,8,5,7,3,5,4,8,5,5,6,7,2,4,6,6,3,4,5,4,2,3,5,4,5,4,5,9,7,6,7,2,4,4,5,6,3,1,1,4,1,1,4,7,10,1,3,0,3,1,6,4,4,4,2,2,6,1,4,3,1,5,3,5,2,7,4,7,3,4,1,3,6,1,2,2,5,5,1,2,1,0,0,0,5,3,2,7,5,5,3,7,11,4,4,2,4,0,1,0,5,4,2,6,3,1,3,5,5,4,3,3,2,6,7,2,4,4,4,4,7,png
1,2,3,3,2,1,4,2,1,1,4,1,0,1,7,6,2,5,1,4,4,6,2,5,8,2,5,2,5,5,4,6,0,4,4,2,1,4,5,3,3,5,7,1,5,2,0,0,3,5,8,3,2,4,2,2,7,3,6,4,3,1,6,2,1,1,2,0,2,3,3,2,5,3,5,2,4,1,3,4,3,4,6,6,3,3,4,8,7,5,4,2,4,2,3,10,2,5,4,3,3,2,3,4,4,6,3,11,3,0,5,4,5,3,2,5,4,2,4,5,6,4,3,10,6,4,4,8,3,2,6,2,4,2,3,4,3,5,4,3,5,11,1,9,1,4,3,2,6,4,5,7,3,2,4,5,4,11,5,7,1,2,8,8,3,5,1,5,1,2,6,6,2,4,6,2,0,3,4,2,4,2,4,6,2,2,0,6,3,6,2,5,2,8,5,4,9,0,4,6,1,6,2,4,4,5,7,6,2,4,4,6,0,2,2,5,8,5,1,5,5,8,9,5,5,7,3,7,3,3,7,3,5,4,2,4,0,2,3,10,11,8,0,6,4,5,6,7,6,3,6,6,4,4,11,8,png
7,7,3,1,24,1,3,5,18,6,5,2,4,3,3,1,26,4,9,1,4,4,2,4,4,2,3,1,7,3,2,6,20,5,2,2,4,4,4,4,6,5,5,6,3,3,6,4,1,4,3,3,3,3,0,2,6,1,2,3,2,0,2,1,2,27,2,2,4,1,5,0,4,6,6,4,4,1,4,3,5,4,11,1,3,4,6,1,5,4,3,3,2,1,5,4,4,2,6,3,5,0,8,4,3,4,3,2,2,1,4,2,6,5,0,8,10,1,4,3,2,3,8,4,6,3,3,2,3,4,19,3,7,3,0,2,5,4,0,2,5,3,0,4,3,2,5,10,4,4,6,3,5,5,3,2,4,7,5,3,4,4,1,5,5,9,3,2,2,2,2,3,2,2,4,5,4,3,5,0,2,7,6,1,7,0,2,5,5,3,3,3,2,5,3,1,2,4,4,1,2,3,5,3,5,4,3,4,2,4,2,4,4,3,3,6,1,4,0,5,6,5,2,7,4,1,5,2,3,5,6,5,2,3,5,2,2,3,5,1,5,7,8,2,3,4,6,1,1,7,2,4,5,6,1,1,png
7,5,2,2,4,4,6,4,11,2,5,5,6,4,2,5,12,8,3,8,0,7,3,3,4,2,7,1,5,3,4,2,4,5,4,5,3,3,2,1,4,5,5,5,4,6,2,0,4,3,5,3,4,5,6,7,4,2,1,4,8,6,5,2,4,6,2,5,9,3,4,3,7,3,6,8,3,3,6,6,8,6,12,6,5,4,4,4,6,4,3,5,4,6,2,3,6,2,5,4,4,5,4,2,4,5,6,0,5,8,2,3,4,7,3,6,10,3,3,1,3,4,3,3,2,1,3,6,8,4,3,4,3,7,2,3,8,4,7,6,4,3,1,0,6,4,4,8,5,11,1,1,2,5,2,4,2,2,2,2,3,2,7,5,4,6,4,1,4,2,2,3,11,1,0,4,4,1,8,8,3,7,6,3,3,4,2,4,3,2,3,1,2,1,1,5,6,1,2,4,5,8,3,6,8,2,3,3,5,8,2,8,3,5,6,6,2,4,3,3,2,4,2,2,3,5,4,4,6,6,2,6,2,1,6,4,1,3,1,4,2,4,1,0,5,2,1,2,1,2,1,2,1,3,0,5,png
9,3,9,2,4,3,4,7,5,1,3,2,4,1,1,2,12,2,3,4,9,8,4,2,5,4,3,0,3,1,6,4,3,7,2,2,6,2,4,2,5,5,2,2,1,3,4,4,1,4,3,9,7,2,1,1,2,3,2,2,0,3,3,7,7,3,5,3,3,4,2,5,7,5,6,8,5,2,7,4,7,8,5,7,4,3,2,5,2,3,6,4,3,3,3,3,3,3,5,2,2,4,7,5,3,7,4,4,3,2,5,7,8,1,4,5,4,6,4,4,7,2,2,3,4,4,2,2,6,1,8,3,11,4,5,5,3,2,4,1,4,2,2,6,4,3,3,3,4,6,3,3,3,8,4,8,2,6,5,4,5,4,4,8,4,6,5,7,4,5,7,8,3,8,5,4,1,4,5,4,3,2,4,4,7,4,4,2,4,3,3,1,2,1,2,4,2,4,3,4,4,8,6,6,1,3,8,1,5,5,8,6,5,5,3,3,2,2,3,5,6,6,3,2,2,5,3,5,3,7,5,3,2,1,1,8,4,4,6,1,3,3,3,5,3,2,3,6,3,1,1,4,4,1,7,3,png
11,6,12,7,7,6,4,5,7,3,3,2,12,8,8,3,1,4,2,2,2,4,6,2,2,7,4,6,10,6,3,3,1,3,0,5,0,0,1,1,5,5,1,3,1,4,2,4,10,6,2,9,4,2,5,5,7,2,4,4,4,3,11,7,9,2,1,6,2,1,2,4,0,0,4,1,3,4,3,2,2,1,0,1,2,4,5,5,8,3,1,4,6,2,2,4,5,8,3,7,2,7,7,2,5,0,3,10,1,5,3,1,13,1,2,5,3,2,3,6,7,4,3,3,6,3,2,2,5,16,5,9,2,2,11,3,2,3,3,2,6,1,13,3,2,1,1,2,3,2,2,4,5,1,1,3,1,3,6,4,5,4,2,12,1,1,3,2,2,3,3,5,1,6,3,3,1,4,2,3,4,4,2,0,6,1,2,2,6,2,2,5,10,8,6,15,0,7,3,4,1,4,4,2,3,2,3,6,4,6,3,4,5,5,2,5,3,4,7,4,5,3,6,3,12,4,4,1,2,2,6,6,6,3,4,4,0,4,1,3,10,6,0,4,7,5,2,4,5,5,4,1,5,2,5,4,png
3,3,4,5,4,2,1,4,4,4,1,1,2,2,1,6,4,4,2,3,3,5,1,3,3,5,5,3,2,11,3,3,3,4,1,1,3,2,2,3,3,3,5,6,5,0,5,4,7,3,1,8,6,8,3,6,2,6,8,5,2,3,9,3,5,0,4,1,3,1,4,0,2,2,4,5,5,3,3,4,2,4,5,4,2,4,8,4,3,4,2,5,3,2,4,3,5,5,8,5,3,6,3,2,2,4,2,3,6,8,4,4,2,6,4,6,1,3,7,10,3,4,2,8,4,5,3,8,4,3,1,0,5,4,3,4,3,2,4,4,5,5,4,12,0,4,1,0,1,2,4,4,3,5,0,1,3,3,1,5,5,2,4,5,3,4,5,7,6,2,3,5,3,9,7,2,1,4,2,8,4,3,3,7,4,3,3,2,2,4,8,8,0,2,5,3,2,9,3,4,1,2,7,1,5,6,9,2,5,5,3,5,0,2,4,4,6,7,3,8,6,9,6,5,1,1,4,6,3,8,3,7,7,3,6,6,5,3,10,6,1,2,8,5,11,2,2,5,4,10,3,10,6,4,5,2,png
5,16,6,1,2,3,2,2,1,3,2,4,2,0,6,0,3,10,5,5,2,5,20,3,6,2,2,4,0,1,6,3,2,6,137,15,7,0,7,18,6,4,3,8,11,1,3,1,3,3,14,3,1,2,1,5,6,1,0,3,4,4,4,3,3,4,3,1,20,2,6,3,4,4,1,2,3,2,2,2,1,5,1,1,4,3,3,0,7,1,1,4,3,3,5,3,4,4,17,3,3,1,5,0,0,2,2,3,4,3,2,6,16,3,1,3,3,4,5,4,6,3,2,3,7,1,1,3,4,2,2,5,2,4,3,1,12,2,3,2,4,1,1,2,3,8,5,1,3,1,1,1,2,1,2,3,6,2,4,3,1,1,5,3,3,3,3,1,1,4,5,1,2,0,6,4,0,4,6,4,1,5,3,3,3,2,1,3,5,1,0,1,6,3,6,4,2,4,4,2,1,1,2,0,9,2,1,2,2,3,0,0,2,0,1,0,4,3,1,1,0,1,5,3,4,3,5,4,0,2,1,2,1,3,4,3,6,4,2,10,3,8,3,7,5,5,1,1,5,3,2,6,1,3,6,6,png
4,7,0,0,2,2,5,1,5,6,2,4,10,4,2,4,0,5,2,2,0,6,3,1,8,3,4,3,2,4,2,4,0,4,2,2,3,0,4,0,0,1,2,4,5,5,5,3,4,2,7,0,2,9,7,0,0,6,2,6,0,2,4,4,3,1,7,8,1,5,1,9,7,3,2,3,6,4,0,5,3,5,0,5,3,4,7,4,5,2,2,9,5,5,5,3,6,4,1,2,3,5,4,1,8,1,4,9,5,8,6,4,2,6,8,2,5,6,7,1,4,11,8,5,4,4,7,2,1,8,3,8,1,2,4,4,3,0,1,9,3,7,4,5,2,11,1,1,2,3,4,2,8,1,4,3,2,4,2,2,5,8,3,3,2,4,3,2,10,4,5,5,8,5,2,5,3,6,4,3,9,7,7,6,1,7,7,7,4,9,3,3,3,3,3,3,5,0,1,10,7,4,3,4,2,1,4,2,6,2,1,4,6,6,7,4,5,0,3,9,3,9,5,3,1,1,2,3,4,8,2,7,4,0,8,6,2,9,3,3,5,6,4,4,6,9,4,3,1,5,4,5,1,3,3,8,png
6,3,7,6,2,5,1,3,5,7,2,5,2,1,3,4,7,4,1,5,4,2,3,4,3,3,4,6,6,3,4,5,6,4,7,1,9,4,0,5,6,2,0,3,5,3,3,5,2,2,5,4,2,9,3,2,5,7,1,4,7,4,4,3,7,3,2,3,7,6,1,1,2,5,2,1,1,2,4,4,10,10,7,5,3,2,7,4,1,3,4,3,1,2,5,2,5,1,3,2,3,7,3,0,9,6,5,9,5,2,8,4,1,2,9,5,4,2,4,7,4,6,2,7,4,3,5,3,9,4,6,0,5,4,2,3,7,3,7,4,1,2,2,6,5,3,2,4,2,1,2,2,1,4,5,3,3,1,7,2,1,4,9,4,3,4,4,4,4,6,1,7,0,5,1,2,6,7,5,5,6,5,4,5,0,2,2,2,3,7,6,4,6,6,5,5,3,7,3,6,6,2,4,3,2,2,2,5,5,10,7,5,3,9,2,6,5,5,5,3,4,3,8,6,3,1,2,4,1,4,6,1,4,5,3,5,3,5,1,5,3,9,3,2,0,6,2,6,1,2,2,7,12,6,3,1,png
